"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Markus Solbach","LAD","0","0","4.57","0","0","0","1.0","1","1","0","1","0","1.35","7.68","2.91","4.70","0.0","0.0","999.0","sa599472"
"Caleb Boushley","SDP","0","0","4.57","0","0","0","1.0","1","1","0","1","0","1.36","7.30","2.93","4.71","0.0","0.0","999.0","sa3004226"
"Alex Meyer","","0","0","4.53","0","0","0","1.0","1","1","0","1","0","1.40","9.27","4.18","4.71","0.0","0.0","999.0","12833"
"Brandon Beachy","","0","0","4.76","0","0","0","1.0","1","1","0","1","0","1.40","7.60","3.25","4.72","0.0","0.0","999.0","8851"
"Yoanys Quiala","","0","0","4.74","0","0","0","1.0","1","1","0","1","0","1.43","7.41","3.48","4.72","0.0","0.0","999.0","sa876861"
"Eric Jokisch","","0","0","4.46","0","0","0","1.0","1","0","0","1","0","1.40","6.60","3.22","4.74","0.0","0.0","999.0","11157"
"Colton Turner","","0","0","4.58","0","0","0","1.0","1","1","0","1","0","1.42","8.28","3.80","4.75","0.0","0.0","999.0","sa658600"
"John Ober","","0","0","4.65","0","0","0","1.0","1","1","0","1","0","1.31","8.03","2.68","4.75","0.0","0.0","999.0","sa918555"
"Bradin Hagens","","0","0","4.78","0","0","0","1.0","1","1","0","1","0","1.51","7.35","4.02","4.75","0.0","0.0","999.0","7422"
"Luis Madero","MIA","0","0","4.60","0","0","0","1.0","1","1","0","1","0","1.41","7.02","3.34","4.76","0.0","0.0","999.0","sa828288"
"Thomas Jankins","MIL","0","0","4.64","0","0","0","1.0","1","1","0","1","0","1.40","6.82","3.01","4.76","0.0","0.0","999.0","sa873276"
"Ubaldo Jimenez","","0","0","4.82","0","0","0","1.0","1","1","0","1","0","1.41","8.16","3.50","4.76","0.0","0.0","999.0","3374"
"Michael Connolly","","0","0","4.78","0","0","0","1.0","1","1","0","1","0","1.47","6.89","3.59","4.76","0.0","0.0","999.0","sa708470"
