"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Jonah Heim","TEX","66","255","233","52","11","1","5","23","24","18","51","0","0",".222",".281",".341",".622",".272","593.1","16930"
"Lewis Brinson","MIA","49","210","192","41","9","1","5","21","20","13","64","4","1",".212",".272",".353",".625",".272","596.9","14352"
"Chris Davis","BAL","29","123","108","20","4","0","4","12","13","12","46","0","0",".184",".275",".339",".614",".271","600.5","9272"
"Michael Perez","PIT","49","190","171","36","8","0","4","17","19","16","53","0","0",".208",".279",".337",".616",".271","600.8","12977"
"Luis Barrera","OAK","8","34","32","7","2","0","0","4","3","2","8","1","0",".230",".281",".341",".621",".271","999.0","sa736690"
"Seby Zavala","CHW","2","6","5","1","0","0","0","1","1","0","2","0","0",".202",".265",".359",".624",".271","999.0","18887"
"Braden Bishop","","5","20","18","4","1","0","0","2","2","2","5","0","0",".221",".289",".319",".608",".270","999.0","17806"
"Meibrys Viloria","KCR","13","50","45","10","2","0","1","5","4","4","13","0","0",".223",".286",".323",".608",".269","999.0","17109"
"Rob Brantly","NYY","8","32","29","7","1","0","1","3","3","2","6","0","0",".222",".282",".334",".616",".269","999.0","10655"
"Jason Vosler","","10","42","38","8","2","0","1","4","4","3","13","0","0",".200",".272",".342",".614",".269","999.0","sa829190"
"Harold Castro","DET","45","192","180","44","7","1","2","18","16","10","41","2","1",".243",".283",".330",".613",".268","599.7","14691"
"Richie Martin Jr.","","21","88","81","18","3","1","1","9","6","6","23","2","1",".221",".282",".328",".609",".268","601.0","17736"
"Chad Wallach","MIA","66","262","234","48","10","0","6","23","25","21","80","0","0",".203",".279",".327",".606",".268","600.3","17161"
"Magneuris Sierra","MIA","19","84","78","19","3","1","1","9","6","5","18","3","1",".238",".283",".327",".610",".268","600.6","17023"
"Mike Freeman","CIN","5","21","19","4","1","0","0","2","2","2","6","0","0",".215",".286",".315",".601",".267","999.0","11241"
"Austin Romine","CHC","32","130","120","27","5","0","3","12","13","7","37","0","0",".222",".268",".346",".614",".267","595.3","5491"
"Austin Wynns","","3","13","11","3","0","0","0","1","1","1","3","0","0",".219",".281",".319",".600",".266","999.0","15271"
"Derek Hill","DET","2","7","6","1","0","0","0","1","1","0","2","0","0",".211",".270",".336",".606",".265","999.0","16947"
